Quote_ID,Project_ID,Trade_Type,Quoted_Amount,Quoted_Hours,Quote_Date,Subcontractor_Name,Total_Billed_Amount,Total_Billed_Hours,Invoice_Count,Milestone_ID,Target_Completion_Date,Actual_Completion_Date,Days_Delayed,Cost_Variance_Amount,Cost_Variance_Percent,Labor_Variance_Hours,Is_Over_Budget_Flag
QT-28726,PROJ-2024-004,Electrical,130658.82,1791,2025-08-07,Elite Electric Co.,74514.08,1018,1,MS-44718,2025-10-06,2025-10-23,17,-56144.74,-0.429704936872995,-773,0
QT-56025,PROJ-2024-013,Roofing,148068.9,2256,2025-07-26,Top Tier Roofing,145489.26,2212,4,MS-94080,2025-08-28,2025-09-05,8,-2579.63999999998,-1.74218894041894e-02,-44,0
QT-10282,PROJ-2024-008,Roofing,38914.73,532,2025-07-07,Top Tier Roofing,28380.1,396,3,MS-61173,2025-09-11,2025-09-21,10,-10534.63,-0.270710602386294,-136,0
QT-92397,PROJ-2024-002,Concrete,22678.74,348,2025-07-26,Concrete Kings,23544.67,376,4,MS-91070,2025-08-29,2025-09-08,10,865.929999999997,3.81824563445763e-02,28,1
QT-54942,PROJ-2024-011,Framing,57198.64,799,2025-08-14,Premier Framing LLC,59989.28,837,3,MS-36685,2025-09-21,2025-09-27,6,2790.64,4.87885725954323e-02,38,1
QT-82132,PROJ-2024-008,HVAC,51733.88,741,2025-07-07,AirTech Pros,51730.59,750,3,MS-22833,2025-09-01,2025-09-11,10,-3.29000000000087,-6.35946888190268e-05,9,0
QT-95426,PROJ-2024-020,HVAC,101352.31,1908,2025-08-03,AirTech Pros,49241.73,920,1,MS-15276,2025-10-19,2025-10-29,10,-52110.58,-0.514152859466153,-988,0
QT-60019,PROJ-2024-004,Roofing,134020.21,2338,2025-08-07,WeatherGuard Roofs,135535.02,2355,3,MS-88104,2025-10-18,2025-10-27,9,1514.81000000003,1.13028475332193e-02,17,1
QT-86484,PROJ-2024-004,HVAC,116521.33,1554,2025-08-07,Climate Control Inc.,119804.75,1606,2,MS-62350,2025-10-06,2025-10-09,3,3283.42,2.81787034185071e-02,52,1
QT-17331,PROJ-2024-003,Drywall,97521.99,1335,2025-07-09,Drywall Dash,96891.52,1324,4,MS-40021,2025-09-17,2025-09-26,9,-630.470000000016,-6.46490089055828e-03,-11,0
QT-27146,PROJ-2024-011,Masonry,59275.39,867,2025-08-14,Stonecraft Masonry,48143.8,702,3,MS-93507,2025-10-08,2025-10-18,10,-11131.59,-0.187794462423613,-165,0
QT-17100,PROJ-2024-007,Drywall,66422.09,978,2025-06-30,Drywall Dash,66450.53,972,3,MS-98259,2025-09-06,2025-09-10,4,28.4400000000023,4.28170808837878e-04,-6,1
QT-25157,PROJ-2024-014,HVAC,54850.96,981,2025-07-11,Climate Control Inc.,54020.03,968,2,MS-60488,2025-10-02,2025-10-04,2,-830.93,-1.51488688620947e-02,-13,0
QT-20458,PROJ-2024-002,Roofing,51767.01,760,2025-07-26,Top Tier Roofing,50617.94,738,3,MS-40512,2025-10-04,2025-10-09,5,-1149.07,-2.21969551650752e-02,-22,0
QT-63354,PROJ-2024-007,Framing,122799.37,2304,2025-06-30,Solid Structure Framing,117778.62,2220,2,MS-34957,2025-08-21,2025-08-16,0,-5020.75,-4.08857960753382e-02,-84,0
QT-92719,PROJ-2024-006,Masonry,78224.74,1497,2025-07-02,Stonecraft Masonry,85522.68,1640,4,MS-17716,2025-09-25,2025-10-07,12,7297.93999999999,9.32945254915515e-02,143,1
QT-29536,PROJ-2024-012,Plumbing,90719.71,1135,2025-08-16,Pipe Masters,90569.49,1138,2,MS-81511,2025-10-05,2025-10-15,10,-150.220000000016,-1.65586949076464e-03,3,0
QT-95181,PROJ-2024-001,Drywall,117030.59,1543,2025-07-04,Smooth Walls Inc.,118851.88,1564,4,MS-81426,2025-09-22,2025-09-21,0,1821.28999999999,1.55625123311776e-02,21,1
QT-70217,PROJ-2024-002,HVAC,21829.42,273,2025-07-26,AirTech Pros,22983.07,286,2,MS-80284,2025-10-23,2025-10-18,0,1153.65,5.28484036680774e-02,13,1
QT-88907,PROJ-2024-001,Concrete,134432.23,1940,2025-07-04,Rock Solid Pour,144855.9,2080,2,MS-13478,2025-08-19,2025-08-28,9,10423.67,7.7538474218571e-02,140,1
QT-21395,PROJ-2024-001,HVAC,92942.54,1307,2025-07-04,Climate Control Inc.,94165.97,1329,3,MS-87397,2025-09-21,2025-09-17,0,1223.43000000001,1.31632942245823e-02,22,1
